deployment_project_reference,datacenter_reference,deployment_id,deployment_guid,receiver_manufacturer,receiver_model,receiver_serial_number,latitude,longitude,time,recovery_datetime_utc,array_name,receiver_reference_type,receiver_reference_id,bottom_depth,depth
ASF,OTN-Global,ASF-West Line D-VR2-2272-2009,OTN-GlobalASFASF-West Line D-VR2-2272-2009,VEMCO,VR2,2272,50.28333,-64.43556,2009-06-13T18:06:00Z,2009-08-06T20:00:00Z,ASF,ManmadePlatform,ASF_ASF-West Line D,20.9,7.0
ASF,OTN-Global,ASF-Above Falls-VR2-3335-2008,OTN-GlobalASFASF-Above Falls-VR2-3335-2008,VEMCO,VR2,3335,50.53819,-64.08922,2008-06-17T21:46:00Z,2008-08-06T17:50:00Z,ASF,ManmadePlatform,ASF_ASF-Above Falls,1.2,1.2
ASF,OTN-Global,ASF-Above Falls-VR2-3335-2009,OTN-GlobalASFASF-Above Falls-VR2-3335-2009,VEMCO,VR2,3335,50.53819,-64.08922,2009-06-26T18:40:00Z,2009-08-07T17:50:00Z,ASF,ManmadePlatform,ASF_ASF-Above Falls,1.2,1.2
ASF,OTN-Global,ASF-Above Falls-VR2-3349-2009,OTN-GlobalASFASF-Above Falls-VR2-3349-2009,VEMCO,VR2,3349,50.53819,-64.08922,2009-08-07T14:11:00Z,2010-06-19T16:30:00Z,ASF,ManmadePlatform,ASF_ASF-Above Falls,0.6,0.6
ASF,OTN-Global,ASF-Above Falls-VR2-3357-2007,OTN-GlobalASFASF-Above Falls-VR2-3357-2007,VEMCO,VR2,3357,50.53819,-64.08922,2007-06-18T03:00:00Z,2007-07-30T17:00:00Z,ASF,ManmadePlatform,ASF_ASF-Above Falls,1.5,1.5
ASF,OTN-Global,ASF-Anticosti Island 1-VR2-2587-2010,OTN-GlobalASFASF-Anticosti Island 1-VR2-2587-2010,VEMCO,VR2,2587,49.89227,-64.5363,2010-05-31T21:00:00Z,2010-08-04T19:47:00Z,ASF,ManmadePlatform,ASF_ASF-Anticosti Island 1,30.0,7.0
ASF,OTN-Global,ASF-Anticosti Island 2-VR2-2581-2010,OTN-GlobalASFASF-Anticosti Island 2-VR2-2581-2010,VEMCO,VR2,2581,49.89673,-64.54998,2010-05-31T21:00:00Z,2010-08-31T03:34:00Z,ASF,ManmadePlatform,ASF_ASF-Anticosti Island 2,60.0,7.0
ASF,OTN-Global,ASF-Anticosti Island 3-VR2-3335-2010,OTN-GlobalASFASF-Anticosti Island 3-VR2-3335-2010,VEMCO,VR2,3335,49.90093,-64.5633,2010-05-31T21:00:00Z,2010-08-13T18:48:00Z,ASF,ManmadePlatform,ASF_ASF-Anticosti Island 3,70.0,7.0
ASF,OTN-Global,ASF-Anticosti Island 4-VR2-3346-2010,OTN-GlobalASFASF-Anticosti Island 4-VR2-3346-2010,VEMCO,VR2,3346,49.90455,-64.57548,2010-05-31T21:00:00Z,2010-08-04T20:14:00Z,ASF,ManmadePlatform,ASF_ASF-Anticosti Island 4,80.0,7.0
ASF,OTN-Global,ASF-Anticosti Island 5-VR2W-109522-2010,OTN-GlobalASFASF-Anticosti Island 5-VR2W-109522-2010,VEMCO,VR2W,109522,49.90867,-64.58682,2010-05-31T21:00:00Z,2010-08-04T20:27:00Z,ASF,ManmadePlatform,ASF_ASF-Anticosti Island 5,90.0,7.0
ASF,OTN-Global,ASF-Below Falls-VR2-1143-2008,OTN-GlobalASFASF-Below Falls-VR2-1143-2008,VEMCO,VR2,1143,50.53673,-64.10447,2008-08-06T16:22:00Z,2009-08-07T22:00:00Z,ASF,ManmadePlatform,ASF_ASF-Below Falls,4.6,4.6
ASF,OTN-Global,ASF-Below Falls-VR2-2587-2007,OTN-GlobalASFASF-Below Falls-VR2-2587-2007,VEMCO,VR2,2587,50.53673,-64.10447,2007-07-30T20:17:00Z,2008-05-29T17:40:00Z,ASF,ManmadePlatform,ASF_ASF-Below Falls,4.3,4.3
ASF,OTN-Global,ASF-Below Falls-VR2-3342-2008,OTN-GlobalASFASF-Below Falls-VR2-3342-2008,VEMCO,VR2,3342,50.53673,-64.10447,2008-05-29T17:45:00Z,2008-08-06T20:15:00Z,ASF,ManmadePlatform,ASF_ASF-Below Falls,4.3,4.3
ASF,OTN-Global,ASF-Below Falls-VR2-3342-2009,OTN-GlobalASFASF-Below Falls-VR2-3342-2009,VEMCO,VR2,3342,50.53673,-64.10447,2009-06-10T14:40:00Z,2009-08-07T20:06:00Z,ASF,ManmadePlatform,ASF_ASF-Below Falls,6.1,6.1
ASF,OTN-Global,ASF-Below Falls-VR2-3353-2007,OTN-GlobalASFASF-Below Falls-VR2-3353-2007,VEMCO,VR2,3353,50.53673,-64.10447,2007-06-12T03:00:00Z,2007-07-30T20:00:00Z,ASF,ManmadePlatform,ASF_ASF-Below Falls,4.3,4.3
ASF,OTN-Global,ASF-Below Falls-VR2-3353-2009,OTN-GlobalASFASF-Below Falls-VR2-3353-2009,VEMCO,VR2,3353,50.53673,-64.10447,2009-08-07T16:52:00Z,2010-05-02T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-Below Falls,4.6,4.6
ASF,OTN-Global,ASF-Below Falls-VR2-5033-2010,OTN-GlobalASFASF-Below Falls-VR2-5033-2010,VEMCO,VR2,5033,50.53673,-64.10447,2010-06-19T11:30:00Z,2010-08-13T18:50:00Z,ASF,ManmadePlatform,ASF_ASF-Below Falls,6.1,5.2
ASF,OTN-Global,ASF-Bridge 1-VR2-3352-2008,OTN-GlobalASFASF-Bridge 1-VR2-3352-2008,VEMCO,VR2,3352,50.29992,-64.31317,2008-05-28T18:40:00Z,2008-08-06T02:45:00Z,ASF,ManmadePlatform,ASF_ASF-Bridge 1,2.4,2.0
ASF,OTN-Global,ASF-Bridge 2-VR2-3353-2008,OTN-GlobalASFASF-Bridge 2-VR2-3353-2008,VEMCO,VR2,3353,50.30036,-64.30036,2008-05-28T18:35:00Z,2008-08-06T02:20:00Z,ASF,ManmadePlatform,ASF_ASF-Bridge 2,1.5,1.5
ASF,OTN-Global,ASF-Bridge-VR2-1564-2009,OTN-GlobalASFASF-Bridge-VR2-1564-2009,VEMCO,VR2,1564,50.3,-64.31317,2009-05-05T03:00:00Z,2009-07-28T17:58:00Z,ASF,ManmadePlatform,ASF_ASF-Bridge,3.0,2.5
ASF,OTN-Global,ASF-Bridge-VR2-2884-2009,OTN-GlobalASFASF-Bridge-VR2-2884-2009,VEMCO,VR2,2884,50.3,-64.31317,2009-08-06T16:50:00Z,2010-06-19T21:30:00Z,ASF,ManmadePlatform,ASF_ASF-Bridge,3.0,2.1
ASF,OTN-Global,ASF-Bridge-VR2W-109400-2010,OTN-GlobalASFASF-Bridge-VR2W-109400-2010,VEMCO,VR2W,109400,50.3,-64.31317,2010-06-02T17:08:00Z,2010-07-26T17:46:00Z,ASF,ManmadePlatform,ASF_ASF-Bridge,1.5,1.5
ASF,OTN-Global,ASF-Cascapedia River 1-VR2-3337-2007,OTN-GlobalASFASF-Cascapedia River 1-VR2-3337-2007,VEMCO,VR2,3337,48.25225,-65.90237,2007-05-29T03:00:00Z,2007-06-27T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-Cascapedia River 1,1.846,1.846
ASF,OTN-Global,ASF-Cascapedia River 2-VR2-3341-2007,OTN-GlobalASFASF-Cascapedia River 2-VR2-3341-2007,VEMCO,VR2,3341,48.25252,-65.89808,2007-05-29T03:00:00Z,2007-06-27T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-Cascapedia River 2,1.538,1.538
ASF,OTN-Global,ASF-Casc Estuary 1-VR2-3343-2007,OTN-GlobalASFASF-Casc Estuary 1-VR2-3343-2007,VEMCO,VR2,3343,48.18895,-65.90343,2007-05-30T03:00:00Z,2007-06-27T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-Casc Estuary 1,4.308,4.308
ASF,OTN-Global,ASF-Casc Estuary 2-VR2-3346-2007,OTN-GlobalASFASF-Casc Estuary 2-VR2-3346-2007,VEMCO,VR2,3346,48.20888,-65.90379,2007-05-30T03:00:00Z,2007-06-27T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-Casc Estuary 2,4.308,4.308
JDF,nep,JDF018-VR2-4169-293,nepJDFJDF018-VR2-4169-293,VEMCO,VR2,4169,48.27634,-124.0424,2004-07-12T00:26:00Z,2004-08-30T23:46:00Z,JDF,ManmadePlatform,JDF_JDF018,181.0,181.0
ASF,OTN-Global,ASF-East Line E-VR2-2595-2009,OTN-GlobalASFASF-East Line E-VR2-2595-2009,VEMCO,VR2,2595,50.2575,-64.22639,2009-06-13T23:06:00Z,2009-08-07T19:30:00Z,ASF,ManmadePlatform,ASF_ASF-East Line E,5.2,3.0
ASF,OTN-Global,ASF-East Line F-VR2-1076-2009,OTN-GlobalASFASF-East Line F-VR2-1076-2009,VEMCO,VR2,1076,50.24722,-64.22556,2009-06-13T23:16:00Z,2009-08-08T19:35:00Z,ASF,ManmadePlatform,ASF_ASF-East Line F,21.0,7.0
ASF,OTN-Global,ASF-East Line G-VR2-2884-2009,OTN-GlobalASFASF-East Line G-VR2-2884-2009,VEMCO,VR2,2884,50.23917,-64.22556,2009-06-13T23:35:00Z,2009-08-09T19:40:00Z,ASF,ManmadePlatform,ASF_ASF-East Line G,38.4,7.0
ASF,OTN-Global,ASF-East Line H-VR2-2610-2009,OTN-GlobalASFASF-East Line H-VR2-2610-2009,VEMCO,VR2,2610,50.23056,-64.22639,2009-06-13T23:52:00Z,2009-08-10T19:43:00Z,ASF,ManmadePlatform,ASF_ASF-East Line H,66.4,7.0
ASF,OTN-Global,ASF-Estuary center-VR2-3355-2009,OTN-GlobalASFASF-Estuary center-VR2-3355-2009,VEMCO,VR2,3355,50.28419,-64.33675,2009-06-12T14:20:00Z,2009-08-03T20:00:00Z,ASF,ManmadePlatform,ASF_ASF-Estuary center,3.6,3.6
ASF,OTN-Global,ASF-Guards Camp 1-VR2-3351-2008,OTN-GlobalASFASF-Guards Camp 1-VR2-3351-2008,VEMCO,VR2,3351,50.31293,-64.26655,2008-05-28T17:15:00Z,2008-08-06T01:44:00Z,ASF,ManmadePlatform,ASF_ASF-Guards Camp 1,2.4,1.5
ASF,OTN-Global,ASF-Guards Camp 1-VR2-3351-2009,OTN-GlobalASFASF-Guards Camp 1-VR2-3351-2009,VEMCO,VR2,3351,50.31293,-64.26655,2009-06-08T17:13:00Z,2009-07-07T21:39:00Z,ASF,ManmadePlatform,ASF_ASF-Guards Camp 1,3.6,1.2
ASF,OTN-Global,ASF-Guards Camp 1-VR2W-109394-2010,OTN-GlobalASFASF-Guards Camp 1-VR2W-109394-2010,VEMCO,VR2W,109394,50.31293,-64.26655,2010-05-31T18:14:00Z,2010-07-26T18:14:00Z,ASF,ManmadePlatform,ASF_ASF-Guards Camp 1,3.0,1.2
ASF,OTN-Global,ASF-Gulf A-VR2W-109399-2010,OTN-GlobalASFASF-Gulf A-VR2W-109399-2010,VEMCO,VR2W,109399,50.28139,-64.41222,2010-06-01T10:15:00Z,2010-07-31T01:40:00Z,ASF,ManmadePlatform,ASF_ASF-Gulf A,23.0,7.0
ASF,OTN-Global,ASF-Gulf B-VR2W-109518-2010,OTN-GlobalASFASF-Gulf B-VR2W-109518-2010,VEMCO,VR2W,109518,50.27444,-64.42056,2010-06-01T10:10:00Z,2010-07-31T01:47:00Z,ASF,ManmadePlatform,ASF_ASF-Gulf B,32.0,7.0
ASF,OTN-Global,ASF-Gulf C-VR2-3337-2010,OTN-GlobalASFASF-Gulf C-VR2-3337-2010,VEMCO,VR2,3337,50.26889,-64.41111,2010-06-01T10:00:00Z,2010-07-31T01:54:00Z,ASF,ManmadePlatform,ASF_ASF-Gulf C,22.0,7.0
ASF,OTN-Global,ASF-Gulf D-VR2W-109403-2010,OTN-GlobalASFASF-Gulf D-VR2W-109403-2010,VEMCO,VR2W,109403,50.26444,-64.40139,2010-06-01T09:50:00Z,2010-07-31T02:01:00Z,ASF,ManmadePlatform,ASF_ASF-Gulf D,30.0,7.0
ASF,OTN-Global,ASF-Gulf E-VR2W-106195-2010,OTN-GlobalASFASF-Gulf E-VR2W-106195-2010,VEMCO,VR2W,106195,50.26222,-64.38722,2010-06-01T09:45:00Z,2010-07-31T02:06:00Z,ASF,ManmadePlatform,ASF_ASF-Gulf E,30.0,7.0
ASF,OTN-Global,ASF-Gulf F-VR2W-109525-2010,OTN-GlobalASFASF-Gulf F-VR2W-109525-2010,VEMCO,VR2W,109525,50.25556,-64.37917,2010-06-01T09:30:00Z,2010-07-31T02:12:00Z,ASF,ManmadePlatform,ASF_ASF-Gulf F,40.0,7.0
ASF,OTN-Global,ASF-Gulf G-VR2W-109527-2010,OTN-GlobalASFASF-Gulf G-VR2W-109527-2010,VEMCO,VR2W,109527,50.25111,-64.36778,2010-06-01T09:30:00Z,2010-08-07T23:52:00Z,ASF,ManmadePlatform,ASF_ASF-Gulf G,40.0,7.0
ASF,OTN-Global,ASF-Gulf H-VR2W-105853-2010,OTN-GlobalASFASF-Gulf H-VR2W-105853-2010,VEMCO,VR2W,105853,50.24806,-64.35639,2010-06-01T09:30:00Z,2010-07-31T02:25:00Z,ASF,ManmadePlatform,ASF_ASF-Gulf H,40.0,7.0
ASF,OTN-Global,ASF-Gulf I-VR2W-100701-2010,OTN-GlobalASFASF-Gulf I-VR2W-100701-2010,VEMCO,VR2W,100701,50.24528,-64.34361,2010-06-01T09:30:00Z,2010-07-31T02:36:00Z,ASF,ManmadePlatform,ASF_ASF-Gulf I,40.0,7.0
ASF,OTN-Global,ASF-Gulf J-VR2W-104568-2010,OTN-GlobalASFASF-Gulf J-VR2W-104568-2010,VEMCO,VR2W,104568,50.23972,-64.33194,2010-05-29T10:00:00Z,2010-07-31T02:43:00Z,ASF,ManmadePlatform,ASF_ASF-Gulf J,42.0,7.0
ASF,OTN-Global,ASF-Gulf K-VR2W-109395-2010,OTN-GlobalASFASF-Gulf K-VR2W-109395-2010,VEMCO,VR2W,109395,50.24,-64.31925,2010-05-29T10:00:00Z,2010-07-31T02:51:00Z,ASF,ManmadePlatform,ASF_ASF-Gulf K,42.0,7.0
ASF,OTN-Global,ASF-Gulf L-VR2W-109402-2010,OTN-GlobalASFASF-Gulf L-VR2W-109402-2010,VEMCO,VR2W,109402,50.23833,-64.30694,2010-05-29T10:00:00Z,2010-07-31T02:58:00Z,ASF,ManmadePlatform,ASF_ASF-Gulf L,42.0,7.0
ASF,OTN-Global,ASF-Gulf M-VR2W-109397-2010,OTN-GlobalASFASF-Gulf M-VR2W-109397-2010,VEMCO,VR2W,109397,50.23833,-64.29583,2010-05-29T10:00:00Z,2010-07-30T19:06:00Z,ASF,ManmadePlatform,ASF_ASF-Gulf M,35.0,7.0
ASF,OTN-Global,ASF-Gulf N-VR2W-109396-2010,OTN-GlobalASFASF-Gulf N-VR2W-109396-2010,VEMCO,VR2W,109396,50.24333,-64.28667,2010-05-29T10:00:00Z,2010-08-08T02:06:00Z,ASF,ManmadePlatform,ASF_ASF-Gulf N,38.0,7.0
ASF,OTN-Global,ASF-Gulf O-VR2W-109401-2010,OTN-GlobalASFASF-Gulf O-VR2W-109401-2010,VEMCO,VR2W,109401,50.24833,-64.27861,2010-05-29T10:00:00Z,2010-07-31T03:59:00Z,ASF,ManmadePlatform,ASF_ASF-Gulf O,20.0,7.0
ASF,OTN-Global,ASF-Head of Tide 2-VR2-3331-2007,OTN-GlobalASFASF-Head of Tide 2-VR2-3331-2007,VEMCO,VR2,3331,48.00903,-66.70108,2007-05-29T03:00:00Z,2007-12-01T04:00:00Z,ASF,ManmadePlatform,ASF_ASF-Head of Tide 2,6.154,6.154
ASF,OTN-Global,ASF-Head of Tide 3-VR2-2357-2007,OTN-GlobalASFASF-Head of Tide 3-VR2-2357-2007,VEMCO,VR2,2357,48.00563,-66.69998,2007-05-29T03:00:00Z,2007-12-01T04:00:00Z,ASF,ManmadePlatform,ASF_ASF-Head of Tide 3,3.077,3.077
ASF,OTN-Global,ASF-Inner Arc 1-2009-VR2-1014-2009,OTN-GlobalASFASF-Inner Arc 1-2009-VR2-1014-2009,VEMCO,VR2,1014,50.27778,-64.34639,2009-06-13T14:32:00Z,2009-07-22T19:53:00Z,ASF,ManmadePlatform,ASF_ASF-Inner Arc 1-2009,9.1,4.0
ASF,OTN-Global,ASF-Inner Arc 1-2010-VR2W-105524-2010,OTN-GlobalASFASF-Inner Arc 1-2010-VR2W-105524-2010,VEMCO,VR2W,105524,50.27986,-64.35062,2010-05-28T10:41:00Z,2010-07-31T00:35:00Z,ASF,ManmadePlatform,ASF_ASF-Inner Arc 1-2010,11.5,4.0
ASF,OTN-Global,ASF-Inner Arc 2-2009-VR2-1018-2009,OTN-GlobalASFASF-Inner Arc 2-2009-VR2-1018-2009,VEMCO,VR2,1018,50.27444,-64.34306,2009-06-13T14:42:00Z,2009-07-23T17:47:00Z,ASF,ManmadePlatform,ASF_ASF-Inner Arc 2-2009,11.3,4.0
ASF,OTN-Global,ASF-Inner Arc 2-2010-VR2W-106313-2010,OTN-GlobalASFASF-Inner Arc 2-2010-VR2W-106313-2010,VEMCO,VR2W,106313,50.27358,-64.34351,2010-05-28T10:37:00Z,2010-08-01T18:33:00Z,ASF,ManmadePlatform,ASF_ASF-Inner Arc 2-2010,12.0,4.0
ASF,OTN-Global,ASF-Inner Arc 3-2009-VR2-1091-2009,OTN-GlobalASFASF-Inner Arc 3-2009-VR2-1091-2009,VEMCO,VR2,1091,50.27278,-64.33597,2009-06-13T14:51:00Z,2009-07-24T19:50:00Z,ASF,ManmadePlatform,ASF_ASF-Inner Arc 3-2009,10.6,4.0
ASF,OTN-Global,ASF-Inner Arc 3-2010-VR2-5031-2010,OTN-GlobalASFASF-Inner Arc 3-2010-VR2-5031-2010,VEMCO,VR2,5031,50.27136,-64.33285,2010-05-28T10:30:00Z,2010-07-31T03:46:00Z,ASF,ManmadePlatform,ASF_ASF-Inner Arc 3-2010,11.8,4.0
ASF,OTN-Global,ASF-Inner Arc 4-2009-VR2-1077-2009,OTN-GlobalASFASF-Inner Arc 4-2009-VR2-1077-2009,VEMCO,VR2,1077,50.2725,-64.32611,2009-06-13T15:01:00Z,2009-07-25T19:56:00Z,ASF,ManmadePlatform,ASF_ASF-Inner Arc 4-2009,9.0,4.0
ASF,OTN-Global,ASF-Inner Arc 4-2010-VR2-5027-2010,OTN-GlobalASFASF-Inner Arc 4-2010-VR2-5027-2010,VEMCO,VR2,5027,50.27191,-64.32075,2010-05-28T10:26:00Z,2010-07-31T00:17:00Z,ASF,ManmadePlatform,ASF_ASF-Inner Arc 4-2010,8.0,4.0
ASF,OTN-Global,ASF-Inner Arc 5-2009-VR2-1013-2009,OTN-GlobalASFASF-Inner Arc 5-2009-VR2-1013-2009,VEMCO,VR2,1013,50.27139,-64.31861,2009-06-13T15:20:00Z,2009-07-26T19:58:00Z,ASF,ManmadePlatform,ASF_ASF-Inner Arc 5-2009,8.1,2.5
ASF,OTN-Global,ASF-Lac castor-VR2-2273-2009,OTN-GlobalASFASF-Lac castor-VR2-2273-2009,VEMCO,VR2,2273,50.29517,-64.28939,2009-06-14T17:10:00Z,2009-07-28T18:15:00Z,ASF,ManmadePlatform,ASF_ASF-Lac castor,1.8,0.9
ASF,OTN-Global,ASF-Lac castor-VR2-5034-2010,OTN-GlobalASFASF-Lac castor-VR2-5034-2010,VEMCO,VR2,5034,50.29517,-64.28939,2010-06-02T17:30:00Z,2010-07-26T17:11:00Z,ASF,ManmadePlatform,ASF_ASF-Lac castor,1.8,0.9
ASF,OTN-Global,ASF-Landslide-VR2-2359-2009,OTN-GlobalASFASF-Landslide-VR2-2359-2009,VEMCO,VR2,2359,50.31425,-64.31019,2009-06-14T17:39:00Z,2009-07-28T18:04:00Z,ASF,ManmadePlatform,ASF_ASF-Landslide,3.6,1.2
ASF,OTN-Global,ASF-Landslide-VR2-5035-2010,OTN-GlobalASFASF-Landslide-VR2-5035-2010,VEMCO,VR2,5035,50.31425,-64.31019,2010-06-02T17:19:00Z,2010-07-26T17:20:00Z,ASF,ManmadePlatform,ASF_ASF-Landslide,3.6,1.2
ASF,OTN-Global,ASF-Meo-VR2-3347-2008,OTN-GlobalASFASF-Meo-VR2-3347-2008,VEMCO,VR2,3347,50.46475,-64.15347,2008-05-29T18:40:00Z,2008-08-07T23:50:00Z,ASF,ManmadePlatform,ASF_ASF-Meo,2.1,2.1
ASF,OTN-Global,ASF-Meo-VR2-3347-2009,OTN-GlobalASFASF-Meo-VR2-3347-2009,VEMCO,VR2,3347,50.46475,-64.15347,2009-06-10T15:35:00Z,2009-08-08T04:04:00Z,ASF,ManmadePlatform,ASF_ASF-Meo,1.7,1.7
ASF,OTN-Global,ASF-Outer Arc 10-2009-VR2-3352-2009,OTN-GlobalASFASF-Outer Arc 10-2009-VR2-3352-2009,VEMCO,VR2,3352,50.27111,-64.35417,2009-06-13T20:44:00Z,2009-07-31T20:30:00Z,ASF,ManmadePlatform,ASF_ASF-Outer Arc 10-2009,20.4,7.0
ASF,OTN-Global,ASF-Outer Arc 11-2009-VR2-1009-2009,OTN-GlobalASFASF-Outer Arc 11-2009-VR2-1009-2009,VEMCO,VR2,1009,50.27583,-64.36139,2009-06-13T20:50:00Z,2009-08-01T20:35:00Z,ASF,ManmadePlatform,ASF_ASF-Outer Arc 11-2009,18.3,7.0
ASF,OTN-Global,ASF-Outer Arc 12-2009-VR2-2587-2009,OTN-GlobalASFASF-Outer Arc 12-2009-VR2-2587-2009,VEMCO,VR2,2587,50.28278,-64.36222,2009-06-14T00:55:00Z,2009-08-02T20:40:00Z,ASF,ManmadePlatform,ASF_ASF-Outer Arc 12-2009,12.1,4.0
ASF,OTN-Global,ASF-Outer Arc 5-2010-VR2W-103139-2010,OTN-GlobalASFASF-Outer Arc 5-2010-VR2W-103139-2010,VEMCO,VR2W,103139,50.26558,-64.31751,2010-05-28T10:22:00Z,2010-07-31T03:37:00Z,ASF,ManmadePlatform,ASF_ASF-Outer Arc 5-2010,10.7,4.0
ASF,OTN-Global,ASF-Outer Arc 6-2009-VR2-1178-2009,OTN-GlobalASFASF-Outer Arc 6-2009-VR2-1178-2009,VEMCO,VR2,1178,50.26944,-64.30861,2009-06-13T20:12:00Z,2009-07-27T20:00:00Z,ASF,ManmadePlatform,ASF_ASF-Outer Arc 6-2009,8.0,3.0
ASF,OTN-Global,ASF-Outer Arc 6-2010-VR2W-104379-2010,OTN-GlobalASFASF-Outer Arc 6-2010-VR2W-104379-2010,VEMCO,VR2W,104379,50.26382,-64.3313,2010-05-29T09:30:00Z,2010-07-31T01:11:00Z,ASF,ManmadePlatform,ASF_ASF-Outer Arc 6-2010,20.0,7.0
ASF,OTN-Global,ASF-Outer Arc 7-2009-VR2-1075-2009,OTN-GlobalASFASF-Outer Arc 7-2009-VR2-1075-2009,VEMCO,VR2,1075,50.26639,-64.31861,2009-06-13T20:20:00Z,2009-07-28T20:10:00Z,ASF,ManmadePlatform,ASF_ASF-Outer Arc 7-2009,12.6,4.0
ASF,OTN-Global,ASF-Outer Arc 7-2010-VR2-4304-2010,OTN-GlobalASFASF-Outer Arc 7-2010-VR2-4304-2010,VEMCO,VR2,4304,50.26579,-64.34414,2010-05-28T10:58:00Z,2010-07-31T01:05:00Z,ASF,ManmadePlatform,ASF_ASF-Outer Arc 7-2010,18.0,7.0
ASF,OTN-Global,ASF-Outer Arc 8-2009-VR2-1026-2009,OTN-GlobalASFASF-Outer Arc 8-2009-VR2-1026-2009,VEMCO,VR2,1026,50.26556,-64.33194,2009-06-13T20:27:00Z,2009-07-29T20:20:00Z,ASF,ManmadePlatform,ASF_ASF-Outer Arc 8-2009,16.0,7.0
ASF,OTN-Global,ASF-Outer Arc 8-2010-VR2W-104326-2010,OTN-GlobalASFASF-Outer Arc 8-2010-VR2W-104326-2010,VEMCO,VR2W,104326,50.27039,-64.35453,2010-05-28T10:54:00Z,2010-07-31T00:59:00Z,ASF,ManmadePlatform,ASF_ASF-Outer Arc 8-2010,19.1,7.0
ASF,OTN-Global,ASF-Outer Arc 9-2009-VR2-1086-2009,OTN-GlobalASFASF-Outer Arc 9-2009-VR2-1086-2009,VEMCO,VR2,1086,50.26806,-64.34167,2009-06-13T20:33:00Z,2009-07-30T20:25:00Z,ASF,ManmadePlatform,ASF_ASF-Outer Arc 9-2009,17.0,7.0
ASF,OTN-Global,ASF-Outer Arc 9-2010-VR2-5032-2010,OTN-GlobalASFASF-Outer Arc 9-2010-VR2-5032-2010,VEMCO,VR2,5032,50.2768,-64.36098,2010-05-28T10:50:00Z,2010-07-31T00:54:00Z,ASF,ManmadePlatform,ASF_ASF-Outer Arc 9-2010,17.0,7.0
ASF,OTN-Global,ASF-Portage-VR2-1144-2008,OTN-GlobalASFASF-Portage-VR2-1144-2008,VEMCO,VR2,1144,50.35415,-64.23278,2008-08-07T17:05:00Z,2009-08-05T21:30:00Z,ASF,ManmadePlatform,ASF_ASF-Portage,6.1,6.1
ASF,OTN-Global,ASF-Portage-VR2-2595-2007,OTN-GlobalASFASF-Portage-VR2-2595-2007,VEMCO,VR2,2595,50.35342,-64.23056,2007-07-31T20:15:00Z,2008-07-08T10:30:00Z,ASF,ManmadePlatform,ASF_ASF-Portage,6.1,4.6
ASF,OTN-Global,ASF-Portage-VR2-3350-2009,OTN-GlobalASFASF-Portage-VR2-3350-2009,VEMCO,VR2,3350,50.35415,-64.23278,2009-06-11T20:00:00Z,2009-08-05T23:30:00Z,ASF,ManmadePlatform,ASF_ASF-Portage,6.1,3.0
ASF,OTN-Global,ASF-Portage-VR2-3356-2009,OTN-GlobalASFASF-Portage-VR2-3356-2009,VEMCO,VR2,3356,50.35415,-64.23278,2009-08-05T19:50:00Z,2010-06-19T00:55:00Z,ASF,ManmadePlatform,ASF_ASF-Portage,6.1,4.6
JDF,nep,JDF019-VR2-4151-740,nepJDFJDF019-VR2-4151-740,VEMCO,VR2,4151,48.2825,-124.03962,2006-04-14T07:39:00Z,2006-10-22T23:55:00Z,JDF,ManmadePlatform,JDF_JDF019,188.4,138.4
ASF,OTN-Global,ASF-Portage-VR2W-109398-2010,OTN-GlobalASFASF-Portage-VR2W-109398-2010,VEMCO,VR2W,109398,50.35415,-64.23278,2010-06-18T21:05:00Z,2010-08-13T01:30:00Z,ASF,ManmadePlatform,ASF_ASF-Portage,6.1,3.0
ASF,OTN-Global,ASF-Red Rock-VR2-2595-2010,OTN-GlobalASFASF-Red Rock-VR2-2595-2010,VEMCO,VR2,2595,50.33147,-64.25597,2010-06-19T19:00:00Z,2010-08-13T02:07:00Z,ASF,ManmadePlatform,ASF_ASF-Red Rock,3.3,3.3
ASF,OTN-Global,ASF-Red Rock-VR2-3349-2008,OTN-GlobalASFASF-Red Rock-VR2-3349-2008,VEMCO,VR2,3349,50.33147,-64.25597,2008-05-28T23:11:00Z,2008-08-06T01:30:00Z,ASF,ManmadePlatform,ASF_ASF-Red Rock,3.6,3.6
ASF,OTN-Global,ASF-Red Rock-VR2-3349-2009,OTN-GlobalASFASF-Red Rock-VR2-3349-2009,VEMCO,VR2,3349,50.33147,-64.25597,2009-06-10T20:25:00Z,2009-08-06T14:11:00Z,ASF,ManmadePlatform,ASF_ASF-Red Rock,3.0,3.0
ASF,OTN-Global,ASF-Red Rock-VR2W-109518-2010,OTN-GlobalASFASF-Red Rock-VR2W-109518-2010,VEMCO,VR2W,109518,50.33147,-64.25597,2010-08-12T22:11:00Z,2011-08-14T03:00:00Z,ASF,ManmadePlatform,ASF_ASF-Red Rock,2.7,2.7
